Voltage,Current,Time
0.955125,-0.00039999999999999996,4.76837158203125e-07
0.954375,-0.0007,0.053559303283691406
0.954125,-0.00039999999999999996,0.1139841079711914
0.9550000000000001,-0.00039999999999999996,0.17444181442260742
0.9545,-9.999999999999999e-05,0.2348778247833252
0.95475,-0.00039999999999999996,0.29537415504455566
0.9545,-0.0003,0.35582971572875977
0.95425,-0.0004999999999999999,0.41631507873535156
0.95475,-9.999999999999999e-05,0.47680187225341797
0.954375,0.0,0.5372531414031982
0.954875,-0.00039999999999999996,0.5976240634918213
0.954375,-0.0003,0.6579897403717041
0.95425,-0.0003,0.7183594703674316
0.9550000000000001,-0.0004999999999999999,0.7787392139434814
0.95425,-0.00019999999999999998,0.8393082618713379
0.954875,-0.00039999999999999996,0.8999171257019043
0.954125,0.0,0.9605896472930908
0.95475,-0.00019999999999999998,1.0212047100067139
0.95425,-0.00019999999999999998,1.0818281173706055
0.9545,-0.0003,1.14253830909729
0.9546250000000001,-9.999999999999999e-05,1.2032113075256348
0.9545,-0.00039999999999999996,1.2638335227966309
0.9546250000000001,-0.0004999999999999999,1.324493408203125
0.95475,-9.999999999999999e-05,1.3851709365844727
0.95425,-0.0003,1.445812702178955
0.95475,-9.999999999999999e-05,1.5065321922302246
0.954375,-0.00019999999999999998,1.5671966075897217
0.95475,-0.00019999999999999998,1.627854824066162
0.95475,-9.999999999999999e-05,1.688589096069336
0.95425,-0.00039999999999999996,1.7492594718933105
0.95425,-0.00039999999999999996,1.8099229335784912
0.954125,-0.00019999999999999998,1.8706638813018799
0.954125,-0.0003,1.9313483238220215
0.954375,-0.0003,1.992032527923584
0.954875,-0.00039999999999999996,2.05269718170166
0.95475,-0.0003,2.1133594512939453
0.954375,-0.00019999999999999998,2.17413067817688
0.954875,-9.999999999999999e-05,2.2348031997680664
0.954375,-0.00039999999999999996,2.2954702377319336
0.9536250000000001,-9.999999999999999e-05,2.3561389446258545
0.9546250000000001,-0.0003,2.4167962074279785
0.9545,-0.0003,2.477511405944824
0.9546250000000001,-0.0003,2.538201332092285
0.9546250000000001,-0.0003,2.5988330841064453
0.9545,-0.00039999999999999996,2.659431219100952
0.95475,-0.0003,2.720088481903076
0.955125,-9.999999999999999e-05,2.7806828022003174
0.954375,-9.999999999999999e-05,2.841364860534668
0.9546250000000001,-0.0004999999999999999,2.9021124839782715
0.95425,-0.0003,2.9628565311431885
0.9550000000000001,-0.00039999999999999996,3.023559808731079
0.955125,0.0,3.0841472148895264
0.9546250000000001,-0.0003,3.144674062728882
0.9546250000000001,-0.00019999999999999998,3.2053682804107666
0.954375,-0.0003,3.2660443782806396
0.9546250000000001,-0.0003,3.326707124710083
0.954375,-0.0003,3.3874423503875732
0.95475,-0.0003,3.447755813598633
0.95475,-0.0004999999999999999,3.5085480213165283
0.95475,-0.0004999999999999999,3.569171667098999
0.954375,-0.0003,3.6297659873962402
0.9545,-9.999999999999999e-05,3.690356969833374
